iter	Passed	Remaining
0	148	148584
1	152	76208
2	155	51555
3	159	39724
4	162	32340
5	164	27318
6	168	23874
7	174	21604
8	177	19580
9	180	17886
10	184	16627
11	189	15564
12	192	14622
13	195	13772
14	198	13059
15	202	12438
16	207	11974
17	212	11591
18	215	11142
19	222	10879
20	225	10495
21	229	10220
22	233	9935
23	237	9655
24	240	9377
25	250	9384
26	253	9146
27	256	8908
28	259	8691
29	261	8462
30	264	8255
31	267	8086
32	270	7918
33	273	7780
34	277	7643
35	282	7561
36	284	7401
37	287	7288
38	292	7207
39	298	7154
40	310	7271
41	314	7176
42	316	7050
43	321	6978
44	324	6888
45	326	6775
46	329	6681
47	333	6612
48	335	6519
49	338	6430
50	340	6329
51	342	6242
52	345	6176
53	347	6093
54	350	6024
55	353	5961
56	355	5880
57	357	5801
58	362	5773
59	366	5737
60	370	5696
61	374	5668
62	377	5609
63	380	5561
64	383	5510
65	386	5476
66	389	5429
67	392	5378
68	396	5344
69	399	5301
70	402	5264
71	405	5225
72	408	5185
73	412	5157
74	415	5120
75	418	5091
76	421	5051
77	423	5008
78	426	4974
79	429	4934
80	431	4895
81	435	4874
82	438	4848
83	441	4810
84	444	4783
85	447	4751
86	449	4714
87	452	4694
88	455	4658
89	457	4628
90	461	4607
91	463	4577
92	466	4545
93	469	4522
94	471	4491
95	473	4463
96	477	4443
97	479	4415
98	482	4395
99	485	4367
100	487	4342
101	489	4313
102	492	4287
103	495	4267
104	498	4248
105	500	4223
106	504	4213
107	509	4205
108	511	4183
109	515	4168
110	519	4159
111	523	4148
112	528	4144
113	530	4125
114	535	4121
115	540	4120
116	545	4118
117	548	4096
118	553	4095
119	557	4088
120	562	4084
121	565	4071
122	568	4052
123	573	4050
124	575	4030
125	579	4021
126	582	4007
127	585	3991
128	589	3976
129	593	3972
130	596	3953
131	599	3941
132	603	3933
133	606	3916
134	609	3902
135	612	3890
136	615	3878
137	618	3862
138	621	3848
139	623	3831
140	626	3816
141	629	3806
142	632	3789
143	635	3780
144	639	3769
145	641	3752
146	649	3768
147	652	3756
148	654	3740
149	664	3764
150	667	3753
151	670	3738
152	672	3725
153	676	3716
154	679	3706
155	683	3696
156	686	3685
157	695	3704
158	697	3687
159	700	3678
160	703	3663
161	705	3649
162	708	3640
163	711	3626
164	714	3613
165	716	3598
166	718	3584
167	720	3569
168	723	3559
169	726	3547
170	729	3537
